#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2019-06-17-09-45-29
#fields	ts	uids	client_addr	server_addr	mac	host_name	client_fqdn	domain	requested_addr	assigned_addr	lease_time	client_message	server_message	msg_types	duration
#types	time	set[string]	addr	addr	string	string	string	string	addr	addr	interval	string	string	vector[string]	interval
1560736236.345841	CqFleh4FDtlTMzAGVj	-	-	94:65:2d:4d:3b:31	OnePlus5T	-	-	211.83.99.81	-	-	-	-	DISCOVER,REQUEST	0.027964
1560736247.829842	CqFleh4FDtlTMzAGVj	-	-	68:db:ca:22:b7:a4	iPhone	-	-	113.54.205.207	-	-	-	-	REQUEST	0.000000
1560736247.601803	CiCuCE2gSegyzdpmnj	211.83.98.16	-	30:b4:9e:db:5e:77	sonne-PC	-	-	-	-	-	-	-	INFORM,INFORM	2.999977
1560736255.625816	CqFleh4FDtlTMzAGVj	-	-	d0:16:b4:5d:b9:33	HUAWEI_Mate_20_Pro_(UD)-f	-	-	113.54.210.72	-	-	-	-	DISCOVER,REQUEST	0.111999
1560736258.361762	CqFleh4FDtlTMzAGVj	-	-	5c:1d:d9:e2:5b:35	iPhone	-	-	113.54.211.48	-	-	-	-	DISCOVER,REQUEST	1.012064
1560736253.457762	CqFleh4FDtlTMzAGVj	-	-	c8:3c:85:db:95:c0	yuukinaiPhone8P	-	-	211.83.99.84	-	-	-	-	REQUEST,REQUEST	1.843997
1560736250.341809	CqFleh4FDtlTMzAGVj	-	-	dc:16:b2:03:d1:f3	HUAWEI_Mate_20-253280ea8d	-	-	113.54.194.45	-	-	-	-	DISCOVER,REQUEST	0.015979
1560736256.393790	CqFleh4FDtlTMzAGVj	-	-	f4:06:16:31:93:76	iPhone	-	-	211.83.99.199	-	-	-	-	REQUEST	0.000000
1560736251.329795	CqFleh4FDtlTMzAGVj	-	-	c0:ee:fb:fc:ad:96	OnePlus_3T	-	-	113.54.194.234	-	-	-	-	DISCOVER,DISCOVER,REQUEST	1.963988
1560736256.445789	CqFleh4FDtlTMzAGVj	-	-	38:de:ad:e5:c5:cc	DESKTOP-CF8E9Q2	DESKTOP-CF8E9Q2	-	113.54.196.6	-	-	-	-	REQUEST	0.000000
1560736260.029806	CqFleh4FDtlTMzAGVj	-	-	e4:9a:dc:62:11:15	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	211.83.98.182	-	-	-	-	DISCOVER,REQUEST	2.023999
1560736269.357767	CqFleh4FDtlTMzAGVj	-	-	9c:f3:87:36:66:48	SLs-iPhone	-	-	211.83.98.140	-	-	-	-	DISCOVER,REQUEST	1.012069
1560736269.069760	CqFleh4FDtlTMzAGVj	-	-	48:3b:38:d4:3f:36	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736269.345770	CqFleh4FDtlTMzAGVj	-	-	d0:16:b4:15:d2:cc	Honor_10-69033bdb360c0768	-	-	211.83.97.153	-	-	-	-	DISCOVER,REQUEST	0.128038
1560736278.877844	CqFleh4FDtlTMzAGVj	-	-	e0:c7:67:11:f6:a5	Wenyis-iPhone	-	-	-	-	-	-	-	DISCOVER,DISCOVER	4.711907
1560736273.469843	CqFleh4FDtlTMzAGVj	-	-	9c:2e:a1:ba:f8:c3	MIX2S-myw	-	-	-	-	-	-	-	DISCOVER,DISCOVER,DISCOVER	11.127993
1560736288.077798	CNhNFB2jr6kpcRsmpk	113.54.212.106	-	dc:f0:90:96:ce:0c	android-d5eec27d39fba2cb	-	-	-	-	-	-	-	REQUEST	0.000000
1560736272.625839	CqFleh4FDtlTMzAGVj	-	-	9c:2e:a1:ba:f8:c3	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.194.207	-	-	-	-	DISCOVER,DISCOVER,REQUEST	17.019971
1560736289.597786	CqFleh4FDtlTMzAGVj	-	-	48:3c:0c:9b:b7:6a	HUAWEI_P9-865e0d545b911cf	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736281.469836	CqFleh4FDtlTMzAGVj	-	-	e4:9a:dc:62:11:15	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	211.83.98.182	-	-	-	-	DISCOVER,REQUEST	2.019974
1560736295.029798	CqFleh4FDtlTMzAGVj	-	-	e0:c7:67:11:f6:a5	Wenyis-iPhone	-	-	211.83.98.167	-	-	-	-	REQUEST	0.000000
1560736290.581783	CqFleh4FDtlTMzAGVj	-	-	b4:69:21:bc:e6:3e	Linex	Linex	-	113.54.223.215	-	-	-	-	REQUEST	0.000000
1560736291.929825	CqFleh4FDtlTMzAGVj	-	-	64:6e:69:d8:67:85	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.220.132	-	-	-	-	DISCOVER,REQUEST	2.024007
1560736299.865765	CqFleh4FDtlTMzAGVj	-	-	64:6e:69:d8:67:85	LAPTOP-6UKVI0AV	LAPTOP-6UKVI0AV	-	113.54.220.132	-	-	-	-	DISCOVER,REQUEST	0.008000
1560736297.593784	CqFleh4FDtlTMzAGVj	-	-	14:bd:61:ac:cb:39	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.206.248	-	-	-	-	REQUEST	0.000000
1560736309.929834	CqFleh4FDtlTMzAGVj	-	-	48:3c:0c:9b:b7:6a	HUAWEI_P9-865e0d545b911cf	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736305.629787	CqFleh4FDtlTMzAGVj	-	-	d0:16:b4:15:d2:cc	Honor_10-69033bdb360c0768	-	-	211.83.97.153	-	-	-	-	REQUEST	0.000000
1560736302.913769	CDOavQvmaX90sb6cc	113.54.207.123	-	30:b4:9e:ed:98:72	nlib-PC	-	-	-	-	-	-	-	INFORM	0.000000
1560736314.065833	CqFleh4FDtlTMzAGVj	-	-	bc:3d:85:fb:43:84	HUAWEI_Mate_10_Pro-976487	-	-	211.83.97.201	-	-	-	-	DISCOVER,REQUEST	0.027928
1560736328.349761	CqFleh4FDtlTMzAGVj	-	-	a0:4e:a7:16:d6:dc	Minghais-iphone	-	-	113.54.221.177	-	-	-	-	REQUEST	0.000000
1560736334.033791	CLJitM35gXGDhEvXK	211.83.98.16	-	30:b4:9e:db:5e:77	sonne-PC	-	-	-	-	-	-	-	INFORM,INFORM	3.012046
1560736330.261771	CqFleh4FDtlTMzAGVj	-	-	4c:49:e3:d6:23:f7	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.195.184	-	-	-	-	DISCOVER,REQUEST	2.020028
1560736348.661784	CqFleh4FDtlTMzAGVj	-	-	14:bd:61:ac:cb:39	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736349.605840	CqFleh4FDtlTMzAGVj	-	-	c8:3c:85:db:95:c0	yuukinaiPhone8P	-	-	211.83.99.84	-	-	-	-	REQUEST	0.000000
1560736343.537772	CqFleh4FDtlTMzAGVj	-	-	7c:a1:77:da:51:02	HUAWEI_P20-605bf8eb885f68	-	-	113.54.214.85	-	-	-	-	REQUEST	0.000000
1560736348.753807	CqFleh4FDtlTMzAGVj	-	-	48:3b:38:d4:3f:36	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736349.365759	CqFleh4FDtlTMzAGVj	-	-	bc:3d:85:fb:43:84	HUAWEI_Mate_10_Pro-976487	-	-	211.83.97.201	-	-	-	-	DISCOVER,REQUEST	0.040012
1560736342.053833	CT9mWp49ZLMrEMUMKg	113.54.203.185	-	50:04:b8:ef:86:0b	HUAWEI_P10_Plus-f0d94dfd9	-	-	-	-	-	-	-	REQUEST	0.000000
1560736349.985841	Ccr2ys2sgEqJnCA4U4	113.54.197.72	-	5c:c5:d4:7f:5f:35	dyy225-PC	-	-	-	-	-	-	-	INFORM,INFORM	2.999996
1560736350.873839	CqFleh4FDtlTMzAGVj	-	-	48:3b:38:d4:3f:36	coguin	-	-	113.54.199.151	-	-	-	-	REQUEST	0.000000
1560736361.257769	CqFleh4FDtlTMzAGVj	-	-	88:10:8f:6e:1a:34	HUAWEI_Mate_20-c92c77344b	-	-	211.83.97.214	-	-	-	-	REQUEST,REQUEST	0.007995
1560736366.501813	CqFleh4FDtlTMzAGVj	-	-	38:f9:d3:d3:94:e9	yangtaodeMBP	-	-	211.83.98.144	-	-	-	-	REQUEST,REQUEST	1.884028
1560736371.981832	CqFleh4FDtlTMzAGVj	-	-	1c:91:48:78:d7:c0	iPhones	-	-	211.83.100.222	-	-	-	-	REQUEST	0.000000
1560736378.597843	CSqB0P36WZhFbTP0Hk	211.83.98.64	-	30:b4:9e:cb:50:d0	maofeng-PC	-	-	-	-	-	-	-	INFORM,INFORM	2.951970
1560736373.589776	CqFleh4FDtlTMzAGVj	-	-	7c:04:d0:4a:64:85	XiPhone	-	-	211.83.101.66	-	-	-	-	DISCOVER,REQUEST	1.008057
1560736370.313836	CqFleh4FDtlTMzAGVj	-	-	48:2c:a0:7e:2a:ea	MI8-MiPhone	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736376.105848	CmZhSb3BUUw46tD2Q2	113.54.207.123	-	30:b4:9e:ed:98:72	nlib-PC	-	-	-	-	-	-	-	INFORM,INFORM	3.995920
1560736387.705818	CqFleh4FDtlTMzAGVj	-	-	14:bd:61:ac:cb:39	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736388.285812	CqFleh4FDtlTMzAGVj	-	-	b8:53:ac:0a:c7:9d	haoyujideiPhone	-	-	113.54.205.38	-	-	-	-	REQUEST	0.000000
1560736382.505840	CqFleh4FDtlTMzAGVj	-	-	1c:15:1f:50:02:56	Honor_8-69decf0555dec518	-	-	113.54.219.140	-	-	-	-	DISCOVER,REQUEST	0.115953
1560736383.549831	CqFleh4FDtlTMzAGVj	-	-	a0:4e:a7:16:d6:dc	Minghais-iphone	-	-	113.54.221.177	-	-	-	-	REQUEST	0.000000
1560736393.149830	CqFleh4FDtlTMzAGVj	-	-	80:ed:2c:ec:eb:3d	Zephyrus-iPhone	-	-	113.54.223.210	-	-	-	-	REQUEST	0.000000
1560736395.889786	CqFleh4FDtlTMzAGVj	-	-	ec:89:14:f1:6f:bf	HUAWEI_Mate_10_Pro-a072cd	-	-	113.54.218.104	-	-	-	-	DISCOVER,DISCOVER,REQUEST	1.116001
1560736395.881808	CqFleh4FDtlTMzAGVj	-	-	d0:16:b4:15:d2:cc	Honor_10-69033bdb360c0768	-	-	211.83.97.153	-	-	-	-	DISCOVER,REQUEST	1.424007
1560736394.725808	CqFleh4FDtlTMzAGVj	-	-	90:dd:5d:0d:8c:24	shizifang	-	-	113.54.222.228	-	-	-	-	REQUEST	0.000000
1560736398.437771	CqFleh4FDtlTMzAGVj	-	-	b8:53:ac:0a:c7:9d	haoyujideiPhone	-	-	113.54.205.38	-	-	-	-	REQUEST	0.000000
1560736391.641768	CqFleh4FDtlTMzAGVj	-	-	9c:f3:87:36:66:48	SLs-iPhone	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736395.845761	CqFleh4FDtlTMzAGVj	-	-	f8:59:71:77:27:70	LAPTOP-EU592A92	LAPTOP-EU592A92	-	113.54.212.216	-	-	-	-	REQUEST	0.000000
1560736400.593754	CqFleh4FDtlTMzAGVj	-	-	6c:88:14:8e:3e:94	DXIT_1901	DXIT_1901	-	192.168.1.100	-	-	-	-	REQUEST	0.000000
1560736400.637803	CqFleh4FDtlTMzAGVj	-	-	6c:88:14:8e:3e:94	DXIT_1901	DXIT_1901	-	113.54.199.29	-	-	-	-	REQUEST	0.000000
1560736403.109788	CqFleh4FDtlTMzAGVj	-	-	dc:f0:90:9a:a1:cc	android-4c08f99742408f0a	-	-	211.83.100.254	-	-	-	-	DISCOVER,REQUEST	0.023852
1560736401.533753	CxYiJ5NEwqcIrkeOk	113.54.217.116	-	74:de:2b:58:58:29	l-PC	-	-	-	-	-	-	-	INFORM	0.000000
1560736403.993836	CWFQvl3Z016rEgpPrk	113.54.199.29	-	6c:88:14:8e:3e:94	DXIT_1901	-	-	-	-	-	-	-	INFORM	0.000000
1560736409.957795	CqFleh4FDtlTMzAGVj	-	-	bc:3d:85:fb:43:84	HUAWEI_Mate_10_Pro-976487	-	-	211.83.97.201	-	-	-	-	DISCOVER,REQUEST	0.051961
1560736416.329760	CqFleh4FDtlTMzAGVj	-	-	4c:74:bf:53:c5:0a	jiahuixnnvlaila	-	-	113.54.194.173	-	-	-	-	REQUEST	0.000000
1560736413.789782	CqFleh4FDtlTMzAGVj	-	-	b8:53:ac:0a:c7:9d	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.205.38	-	-	-	-	DISCOVER,REQUEST	3.024055
1560736414.121780	CqFleh4FDtlTMzAGVj	-	-	a4:9b:4f:49:0b:eb	HONOR_V20-ed8c7a00e2cea8d	-	-	211.83.101.68	-	-	-	-	DISCOVER,REQUEST	0.035995
1560736424.657796	CqFleh4FDtlTMzAGVj	-	-	1c:15:1f:50:02:56	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.219.140	-	-	-	-	REQUEST	0.000000
1560736432.381833	CqFleh4FDtlTMzAGVj	-	-	18:f0:e4:3d:cd:c6	MiNote3-xiaomishouji	-	-	211.83.101.194	-	-	-	-	REQUEST	0.000000
1560736433.229777	CqFleh4FDtlTMzAGVj	-	-	54:33:cb:8e:9a:a4	AlbertsiPhone8	-	-	113.54.220.171	-	-	-	-	REQUEST	0.000000
1560736436.961770	CqFleh4FDtlTMzAGVj	-	-	74:d2:1d:e2:26:3b	HUAWEI_P20-274c037c0a8461	-	-	211.83.100.21	-	-	-	-	DISCOVER,REQUEST	0.024069
1560736435.021844	CqFleh4FDtlTMzAGVj	-	-	54:33:cb:8e:9a:a4	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.220.171	-	-	-	-	DISCOVER,REQUEST	2.027932
1560736447.881834	CqFleh4FDtlTMzAGVj	-	-	e4:b2:fb:e5:16:6a	yangyandeiPhone	-	-	113.54.193.21	-	-	-	-	REQUEST	0.000000
1560736440.657834	CqFleh4FDtlTMzAGVj	-	-	04:4f:4c:8f:f4:e6	HUAWEI_Mate_9-bf94876b019	-	-	113.54.212.65	-	-	-	-	DISCOVER,REQUEST	0.047947
1560736448.893763	Clzhqy2AmUbZFdfDra	113.54.199.250	-	e0:94:67:5a:59:3d	uestc-pc	-	-	-	-	-	-	-	INFORM,INFORM	3.012013
1560736453.633809	CrWPwV1agVrIJ5WLbd	211.83.98.64	-	30:b4:9e:cb:50:d0	maofeng-PC	-	-	-	-	-	-	-	INFORM,INFORM	2.996017
1560736459.737833	CqFleh4FDtlTMzAGVj	-	-	04:4f:4c:8f:f4:e6	HUAWEI_Mate_9-bf94876b019	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736453.353810	CqFleh4FDtlTMzAGVj	-	-	cc:2d:b7:84:6a:86	hupingde-iPhone	-	-	113.54.200.79	-	-	-	-	REQUEST	0.000000
1560736453.625758	CqFleh4FDtlTMzAGVj	-	-	34:f6:4b:56:ed:84	LAPTOP-5T849VMV	-	-	113.54.197.120	-	-	-	-	DISCOVER	0.000000
1560736454.457768	CqFleh4FDtlTMzAGVj	-	-	54:b1:21:9d:23:c6	Honor_9-980a09c44a00936d	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736450.229765	CqFleh4FDtlTMzAGVj	-	-	74:a5:28:c3:e4:d9	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.210.122	-	-	-	-	DISCOVER,REQUEST	2.024001
1560736451.813778	CqFleh4FDtlTMzAGVj	-	-	bc:3d:85:2a:b1:ec	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.216.94	-	-	-	-	REQUEST	0.000000
1560736461.873789	CqFleh4FDtlTMzAGVj	-	-	5c:c3:07:71:72:c7	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.202.93	-	-	-	-	DISCOVER,REQUEST	2.024041
1560736472.037761	CqFleh4FDtlTMzAGVj	-	-	9c:f3:87:36:66:48	SLs-iPhone	-	-	-	-	-	-	-	DISCOVER,DISCOVER,DISCOVER,DISCOVER	8.471992
1560736472.037761	CqFleh4FDtlTMzAGVj	-	-	9c:f3:87:36:66:48	SLs-iPhone	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736477.637784	CqFleh4FDtlTMzAGVj	-	-	c8:3c:85:db:95:c0	yuukinaiPhone8P	-	-	211.83.99.84	-	-	-	-	REQUEST	0.000000
1560736483.257840	CqFleh4FDtlTMzAGVj	-	-	9c:ad:97:b2:25:69	DESKTOP-535RFM0	DESKTOP-535RFM0	-	113.54.208.164	-	-	-	-	REQUEST	0.000000
1560736490.897799	CqFleh4FDtlTMzAGVj	-	-	50:2b:73:d9:78:cd	hyj-PC	hyj-PC	-	211.83.98.83	-	-	-	-	REQUEST	0.000000
1560736494.097782	CqFleh4FDtlTMzAGVj	-	-	54:33:cb:8e:9a:a4	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736490.801838	CqFleh4FDtlTMzAGVj	-	-	d0:16:b4:15:d2:cc	Honor_10-69033bdb360c0768	-	-	211.83.97.153	-	-	-	-	REQUEST	0.000000
1560736498.721807	CSuwXEupGwRrkAPwi	211.83.98.83	-	50:2b:73:d9:78:cd	hyj-PC	-	-	-	-	-	-	-	INFORM	0.000000
1560736504.365815	CqFleh4FDtlTMzAGVj	-	-	9c:f3:87:36:66:48	SLs-iPhone	-	-	211.83.98.140	-	-	-	-	DISCOVER,REQUEST	1.079958
1560736511.517841	CqFleh4FDtlTMzAGVj	-	-	30:f7:72:43:d6:55	DESKTOP-80QPE70	DESKTOP-80QPE70	-	113.54.206.196	-	-	-	-	REQUEST,REQUEST	3.171991
1560736513.285786	CqFleh4FDtlTMzAGVj	-	-	4c:74:bf:53:c5:0a	jiahuixnnvlaila	-	-	113.54.194.173	-	-	-	-	REQUEST	0.000000
1560736524.617835	CqFleh4FDtlTMzAGVj	-	-	ec:89:14:f1:6f:bf	HUAWEI_Mate_10_Pro-a072cd	-	-	113.54.218.104	-	-	-	-	DISCOVER,REQUEST	0.031952
1560736524.025833	CqFleh4FDtlTMzAGVj	-	-	50:29:f5:51:20:89	OPPO-A5	-	-	113.54.214.18	-	-	-	-	DISCOVER,REQUEST	0.055965
1560736522.853787	CqFleh4FDtlTMzAGVj	-	-	1c:15:1f:50:02:56	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.219.140	-	-	-	-	DISCOVER,REQUEST	3.023984
1560736536.025812	CqFleh4FDtlTMzAGVj	-	-	a4:ca:a0:ae:b0:a3	HUAWEI_Mate_9-ffddfcb5764	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736529.985785	CqFleh4FDtlTMzAGVj	-	-	e4:9a:dc:ef:9f:02	iPhone	-	-	211.83.96.126	-	-	-	-	REQUEST,REQUEST	1.643997
1560736531.765775	CqFleh4FDtlTMzAGVj	-	-	-	HUAWEI_G9_Youth	-	-	211.83.100.165	-	-	-	-	DISCOVER,REQUEST	0.016059
1560736548.129791	CqFleh4FDtlTMzAGVj	-	-	d8:8f:76:83:f8:2a	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.203.80	-	-	-	-	DISCOVER,REQUEST	2.024041
1560736549.457807	CqFleh4FDtlTMzAGVj	-	-	88:ae:07:32:82:1f	Enhaoteki-iPad	-	-	113.54.212.86	-	-	-	-	DISCOVER,REQUEST	1.047977
1560736553.749785	CSdyJu1TpcJvjzFZS7	113.54.207.234	-	68:07:15:bd:87:4c	yd3-PC	-	-	-	-	-	-	-	INFORM,INFORM	2.999988
1560736550.153832	CqFleh4FDtlTMzAGVj	-	-	d4:50:3f:d9:4b:dd	android-69ac4b94d47929d8	-	-	211.83.101.55	-	-	-	-	DISCOVER,REQUEST	0.039927
1560736556.361797	CqFleh4FDtlTMzAGVj	-	-	d0:16:b4:5d:b9:33	HUAWEI_Mate_20_Pro_(UD)-f	-	-	113.54.210.72	-	-	-	-	DISCOVER,REQUEST	0.023969
1560736568.681794	CqFleh4FDtlTMzAGVj	-	-	20:47:da:f2:29:26	MI6-xiaomishouji	-	-	113.54.207.112	-	-	-	-	DISCOVER,REQUEST	0.016061
1560736560.777836	CqFleh4FDtlTMzAGVj	-	-	e4:0e:ee:c0:98:5e	HUAWEI_P20-53874aef3823d4	-	-	211.83.102.188	-	-	-	-	DISCOVER,DISCOVER,REQUEST	2.056002
1560736564.801787	CqFleh4FDtlTMzAGVj	-	-	38:f9:d3:e6:04:90	qiaogongdeMBP	-	-	113.54.196.184	-	-	-	-	REQUEST	0.000000
1560736574.045802	C3eN0lnfgqQ5ltl78	211.83.98.83	-	50:2b:73:d9:78:cd	hyj-PC	-	-	-	-	-	-	-	INFORM,INFORM	3.000028
1560736576.349784	CqFleh4FDtlTMzAGVj	-	-	54:33:cb:8e:9a:a4	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.220.171	-	-	-	-	DISCOVER,REQUEST	3.020025
1560736579.881787	Ct9Yse1FvvgyogH3mi	113.54.207.172	-	28:e3:47:fa:0b:10	PPTV3-20140625Q	-	-	-	-	-	-	-	INFORM,INFORM	2.996048
1560736587.549780	CqFleh4FDtlTMzAGVj	-	-	6c:8d:c1:16:f9:46	iPhone-5	-	-	113.54.202.48	-	-	-	-	DISCOVER,REQUEST	1.016008
1560736588.809837	CqFleh4FDtlTMzAGVj	-	-	28:16:a8:66:3b:cf	DESKTOP-USFHCKS	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736586.889798	CqFleh4FDtlTMzAGVj	-	-	ec:89:14:f1:6f:bf	HUAWEI_Mate_10_Pro-a072cd	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736582.589836	CqFleh4FDtlTMzAGVj	-	-	6c:8d:c1:16:f9:46	iPhone-5	-	-	113.54.202.48	-	-	-	-	REQUEST	0.000000
1560736589.521839	CqFleh4FDtlTMzAGVj	-	-	38:f9:d3:e6:04:90	qiaogongdeMBP	-	-	113.54.196.184	-	-	-	-	REQUEST	0.000000
