#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2019-06-17-09-45-29
#fields	ts	uids	client_addr	server_addr	mac	host_name	client_fqdn	domain	requested_addr	assigned_addr	lease_time	client_message	server_message	msg_types	duration
#types	time	set[string]	addr	addr	string	string	string	string	addr	addr	interval	string	string	vector[string]	interval
1560735960.037801	CqFleh4FDtlTMzAGVj	-	-	94:d0:29:cb:13:11	android-137ab8e8483a719a	-	-	113.54.216.199	-	-	-	-	REQUEST	0.000000
1560735965.149810	CqFleh4FDtlTMzAGVj	-	-	dc:85:de:9b:32:09	guoqiang-PC	guoqiang-PC	-	113.54.198.153	-	-	-	-	REQUEST	0.000000
1560735960.321760	CqFleh4FDtlTMzAGVj	-	-	e4:9a:dc:ef:9f:02	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560735968.853829	CTxhvI1xOFHtihWq58	113.54.207.172	-	28:e3:47:fa:0b:10	PPTV3-20140625Q	-	-	-	-	-	-	-	INFORM,INFORM	3.003997
1560735974.437782	CqFleh4FDtlTMzAGVj	-	-	7c:50:49:54:ce:50	Miracle	-	-	113.54.199.46	-	-	-	-	REQUEST,REQUEST,REQUEST	3.524053
1560735972.009804	C6uC2W1d7TxIJgQEYl	211.83.98.64	-	30:b4:9e:cb:50:d0	maofeng-PC	-	-	-	-	-	-	-	INFORM,INFORM	2.832040
1560735984.297841	CqFleh4FDtlTMzAGVj	-	-	90:f0:52:8d:b0:e2	MEIZU-16s	-	-	211.83.101.19	-	-	-	-	DISCOVER,REQUEST	0.023940
1560735989.041766	C2YM3930OQX2yC3qz9	211.83.98.16	-	30:b4:9e:db:5e:77	sonne-PC	-	-	-	-	-	-	-	INFORM,INFORM	3.004070
1560735983.241813	CqFleh4FDtlTMzAGVj	-	-	dc:f0:90:9a:a1:cc	android-4c08f99742408f0a	-	-	211.83.100.254	-	-	-	-	DISCOVER,REQUEST	0.063994
1560735981.997833	CZhRhK1BD6h2ckPPDc	113.54.220.127	-	30:b4:9e:79:ce:33	557-PC	-	-	-	-	-	-	-	INFORM	0.000000
1560735998.869841	CqFleh4FDtlTMzAGVj	-	-	30:b4:9e:c4:8f:5f	PC-20181210QDMM	PC-20181210QDMM	-	113.54.198.26	-	-	-	-	REQUEST	0.000000
1560735991.301793	CqFleh4FDtlTMzAGVj	-	-	30:b4:9e:cd:f3:fa	PC09	PC09	-	211.83.100.36	-	-	-	-	DISCOVER,REQUEST	0.008000
1560736007.825818	CNbBfOAPlXGrvHCY5	113.54.204.97	-	30:b4:9e:0f:a6:b1	WCS233-PC	-	-	-	-	-	-	-	INFORM	0.000000
1560736004.281761	CqFleh4FDtlTMzAGVj	-	-	40:33:1a:a0:84:99	iPhone-7-plus	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736000.957754	Cw1Lo02nMyTWSblkQc	113.54.204.59	-	30:b4:9e:1f:10:ef	SCP_A0002	-	-	-	-	-	-	-	INFORM	0.000000
1560736018.233691	CqFleh4FDtlTMzAGVj	-	-	5c:c3:07:71:72:c7	Honor_V10-da1c819c7a4a358	-	-	113.54.202.93	-	-	-	-	DISCOVER,DISCOVER,REQUEST	6.228153
1560736022.441841	CqFleh4FDtlTMzAGVj	-	-	b8:c3:85:20:fa:3b	HUAWEI_P30-2d61aea7f1c0b9	-	-	113.54.201.13	-	-	-	-	DISCOVER,REQUEST	0.015961
1560736027.949844	CqFleh4FDtlTMzAGVj	-	-	e4:a4:71:a8:02:46	DESKTOP-RM0GJ99	DESKTOP-RM0GJ99	-	113.54.200.169	-	-	-	-	DISCOVER,REQUEST	0.007957
1560736020.849775	CRJSxN2RCSZ0noxAv8	113.54.199.250	-	e0:94:67:5a:59:3d	uestc-pc	-	-	-	-	-	-	-	INFORM	0.000000
1560736026.165844	CqFleh4FDtlTMzAGVj	-	-	-	android-375ee0864f38cbef	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736032.901840	CqFleh4FDtlTMzAGVj	-	-	80:ad:16:f3:14:c7	MI6-xiaomishouji	-	-	113.54.218.180	-	-	-	-	DISCOVER,DISCOVER,REQUEST	1.935912
1560736035.205840	CqFleh4FDtlTMzAGVj	-	-	fc:18:3c:32:4e:64	zhangwedeiPhone	-	-	113.54.212.64	-	-	-	-	REQUEST	0.000000
1560736038.829752	CqFleh4FDtlTMzAGVj	-	-	5c:c3:07:6d:dd:8c	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736041.397798	CqFleh4FDtlTMzAGVj	-	-	94:87:e0:41:39:95	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.214.184	-	-	-	-	DISCOVER,REQUEST	2.019999
1560736044.357791	CqFleh4FDtlTMzAGVj	-	-	dc:f0:90:9a:a1:cc	android-4c08f99742408f0a	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736043.401841	CqFleh4FDtlTMzAGVj	-	-	3c:2e:f9:0d:6d:ff	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736041.969762	CqFleh4FDtlTMzAGVj	-	-	e4:a4:71:a8:02:46	DESKTOP-RM0GJ99	DESKTOP-RM0GJ99	-	113.54.200.169	-	-	-	-	REQUEST	0.000000
1560736052.069808	CqFleh4FDtlTMzAGVj	-	-	e4:a4:71:a8:02:46	DESKTOP-RM0GJ99	DESKTOP-RM0GJ99	-	113.54.200.169	-	-	-	-	REQUEST	0.000000
1560736052.853829	CqFleh4FDtlTMzAGVj	-	-	3c:2e:f9:0d:6d:ff	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.214.223	-	-	-	-	REQUEST	0.000000
1560736069.545788	CqFleh4FDtlTMzAGVj	-	-	8c:45:00:86:04:3a	Galaxy-S9	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736063.217834	CqFleh4FDtlTMzAGVj	-	-	e4:a4:71:a8:02:46	DESKTOP-RM0GJ99	DESKTOP-RM0GJ99	-	113.54.200.169	-	-	-	-	REQUEST	0.000000
1560736068.897836	CqFleh4FDtlTMzAGVj	-	-	f4:06:16:31:93:76	iPhone	-	-	211.83.99.199	-	-	-	-	DISCOVER,REQUEST	1.099949
1560736061.601789	CqFleh4FDtlTMzAGVj	-	-	8c:45:00:86:04:3a	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736086.433837	CqFleh4FDtlTMzAGVj	-	-	48:3b:38:d1:d4:06	Color	-	-	113.54.223.17	-	-	-	-	REQUEST,REQUEST	1.127949
1560736086.449832	CqFleh4FDtlTMzAGVj	-	-	3c:cd:5d:47:34:9c	HUAWEI_P20-a83cd68faab31f	-	-	113.54.194.145	-	-	-	-	DISCOVER,REQUEST	0.019975
1560736083.497831	CqFleh4FDtlTMzAGVj	-	-	88:e9:fe:46:19:98	zhanqiungdeiPad	-	-	211.83.98.236	-	-	-	-	REQUEST,REQUEST	2.971976
1560736080.769827	CqFleh4FDtlTMzAGVj	-	-	c8:3c:85:db:95:c0	yuukinaiPhone8P	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736091.637771	CqFleh4FDtlTMzAGVj	-	-	d0:16:b4:5d:b9:33	HUAWEI_Mate_20_Pro_(UD)-f	-	-	-	-	-	-	-	DISCOVER,DISCOVER,DISCOVER	6.068068
1560736095.449791	C1m1Qm4QyPOnTQ14di	113.54.199.250	-	e0:94:67:5a:59:3d	uestc-pc	-	-	-	-	-	-	-	INFORM,INFORM	3.000008
1560736103.445774	CqFleh4FDtlTMzAGVj	-	-	0c:51:01:09:72:54	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736119.697837	CqFleh4FDtlTMzAGVj	-	-	f4:06:16:31:93:76	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	211.83.99.199	-	-	-	-	DISCOVER,REQUEST	3.020012
1560736117.449802	CqFleh4FDtlTMzAGVj	-	-	70:ec:e4:3e:ce:43	iPhone	-	-	113.54.206.41	-	-	-	-	REQUEST,REQUEST	2.339995
1560736118.369816	CqFleh4FDtlTMzAGVj	-	-	a4:93:3f:3f:01:2e	Honor_V10-7faab9cf1cd653d	-	-	113.54.192.122	-	-	-	-	DISCOVER,REQUEST	0.075983
1560736116.661843	CqFleh4FDtlTMzAGVj	-	-	48:3b:38:d1:d4:06	Color	-	-	113.54.223.17	-	-	-	-	REQUEST	0.000000
1560736129.397795	CqFleh4FDtlTMzAGVj	-	-	14:bd:61:ac:cb:39	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.206.248	-	-	-	-	DISCOVER,REQUEST	2.032034
1560736123.845813	CqFleh4FDtlTMzAGVj	-	-	4c:32:75:a6:95:03	iPhone-6s	-	-	113.54.211.211	-	-	-	-	REQUEST	0.000000
1560736125.365817	CqFleh4FDtlTMzAGVj	-	-	48:2c:a0:f5:b7:a3	RedmiNote7Pro-Redmi	-	-	113.54.199.124	-	-	-	-	DISCOVER,REQUEST	0.048016
1560736127.413771	CqFleh4FDtlTMzAGVj	-	-	38:37:8b:b5:83:7e	HUAWEI_nova_2s-99d2e2c9a2	-	-	113.54.206.59	-	-	-	-	DISCOVER,REQUEST	0.047989
1560736136.201835	CqFleh4FDtlTMzAGVj	-	-	60:ee:5c:26:97:30	Supreme_xu-PC	Supreme_xu-PC	-	211.83.97.196	-	-	-	-	DISCOVER,REQUEST	0.008000
1560736133.145800	Cn65b8UDLtprVaI6l	113.54.213.41	-	48:8a:d2:6a:e5:9b	VBOAFC9PAC1SVUP	-	-	-	-	-	-	-	INFORM	0.000000
1560736135.197804	CqFleh4FDtlTMzAGVj	-	-	1c:15:1f:50:02:56	Honor_8-69decf0555dec518	-	-	113.54.219.140	-	-	-	-	DISCOVER,REQUEST	0.047988
1560736131.717809	CqFleh4FDtlTMzAGVj	-	-	e4:a4:71:a8:02:46	DESKTOP-RM0GJ99	DESKTOP-RM0GJ99	-	113.54.200.169	-	-	-	-	REQUEST	0.000000
1560736138.613841	CqFleh4FDtlTMzAGVj	-	-	54:25:ea:90:8b:14	HUAWEI_P10_Plus-834864b8f	-	-	113.54.204.48	-	-	-	-	DISCOVER,REQUEST	0.051939
1560736133.121843	CqFleh4FDtlTMzAGVj	-	-	60:ee:5c:26:97:30	Supreme_xu-PC	Supreme_xu-PC	-	10.252.137.127	-	-	-	-	REQUEST,REQUEST	3.007993
1560736142.165788	CqFleh4FDtlTMzAGVj	-	-	88:e9:fe:46:19:98	zhanqiungdeiPad	-	-	211.83.98.236	-	-	-	-	REQUEST	0.000000
1560736143.329807	CqFleh4FDtlTMzAGVj	-	-	80:e6:50:12:5e:d0	miracleMBP	-	-	211.83.96.38	-	-	-	-	DISCOVER,REQUEST	1.124023
1560736147.149812	CqFleh4FDtlTMzAGVj	-	-	6c:4d:73:56:ae:27	RaffaelkiiPhone	-	-	113.54.199.181	-	-	-	-	REQUEST	0.000000
1560736147.221798	CqFleh4FDtlTMzAGVj	-	-	dc:f0:90:9a:a1:cc	android-4c08f99742408f0a	-	-	211.83.100.254	-	-	-	-	DISCOVER,REQUEST	0.019992
1560736151.189799	CqFleh4FDtlTMzAGVj	-	-	62:f8:be:95:19:5d	-	-	-	113.54.197.221	-	-	-	-	DISCOVER,REQUEST	0.031997
1560736165.473767	CqFleh4FDtlTMzAGVj	-	-	a4:50:46:e0:82:cb	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.194.71	-	-	-	-	DISCOVER,REQUEST	2.016036
1560736163.529813	CvW8ui3QlmLL3e4g1k	113.54.207.123	-	30:b4:9e:ed:98:72	nlib-PC	-	-	-	-	-	-	-	INFORM,INFORM	2.999983
